datetime,weight
2021-06-01 00:04:00,6.5
2021-06-01 00:06:50,9.0
2021-06-01 00:18:43,10.0
2021-06-01 00:18:51,16.5
2021-06-01 00:33:03,15.0
2021-06-01 00:34:03,14.0
2021-06-01 00:35:00,72.95
2021-06-01 00:53:27,21.0
2021-06-01 00:57:46,8.5
2021-06-01 01:25:20,7.5
2021-06-01 01:54:00,25.95
2021-06-01 02:32:28,8.5
2021-06-01 02:34:48,9.5
2021-06-01 02:53:46,9.0
2021-06-01 02:56:55,24.0
2021-06-01 03:40:41,5.5
2021-06-01 03:58:34,11.0
2021-06-01 03:59:27,10.0
2021-06-01 04:09:11,7.0
2021-06-01 04:40:31,27.5
2021-06-01 04:46:50,8.5
2021-06-01 04:59:12,6.5
2021-06-01 05:11:56,6.0
2021-06-01 05:35:00,29.04
2021-06-01 05:36:00,35.42
2021-06-01 05:36:00,15.45
2021-06-01 05:48:29,17.5
2021-06-01 05:50:58,7.0
2021-06-01 05:58:28,5.0
2021-06-01 05:59:57,20.5
2021-06-01 06:04:00,31.8
2021-06-01 06:04:18,11.5
2021-06-01 06:05:25,8.5
2021-06-01 06:06:32,12.0
2021-06-01 06:17:31,25.0
2021-06-01 06:21:00,20.8
2021-06-01 06:23:00,16.73
2021-06-01 06:28:34,9.5
2021-06-01 06:35:00,7.0
2021-06-01 06:42:11,9.5
2021-06-01 06:48:00,25.95
2021-06-01 06:51:14,7.0
2021-06-01 06:54:07,7.0
2021-06-01 07:00:55,10.0
2021-06-01 07:06:00,36.45
2021-06-01 07:10:00,23.83
2021-06-01 07:13:00,20.93
2021-06-01 07:13:57,35.5
2021-06-01 07:17:00,19.05
2021-06-01 07:23:38,7.5
2021-06-01 07:25:05,7.5
2021-06-01 07:29:00,33.83
2021-06-01 07:37:57,10.0
2021-06-01 07:38:40,10.0
2021-06-01 07:42:00,48.13
2021-06-01 07:50:00,45.84
2021-06-01 07:50:09,8.0
2021-06-01 07:54:06,57.0
2021-06-01 07:55:12,9.5
2021-06-01 07:59:00,28.26
2021-06-01 08:01:18,7.5
2021-06-01 08:04:00,35.99
2021-06-01 08:05:00,21.57
2021-06-01 08:05:00,48.65
2021-06-01 08:06:00,13.17
2021-06-01 08:09:00,24.32
2021-06-01 08:13:00,23.31
2021-06-01 08:13:10,38.0
2021-06-01 08:14:00,53.18
2021-06-01 08:15:10,8.5
2021-06-01 08:17:00,50.31
2021-06-01 08:18:00,36.16
2021-06-01 08:19:00,40.78
2021-06-01 08:19:41,39.45
2021-06-01 08:24:00,35.99
2021-06-01 08:25:57,7.5
2021-06-01 08:25:59,4.0
2021-06-01 08:27:00,15.14
2021-06-01 08:32:00,53.87
2021-06-01 08:32:23,6.0
2021-06-01 08:34:50,23.5
2021-06-01 08:40:00,61.27
2021-06-01 08:40:00,38.52
2021-06-01 08:41:00,12.62
2021-06-01 08:43:00,61.61
2021-06-01 08:44:00,39.95
2021-06-01 08:46:08,4.0
2021-06-01 08:48:00,32.54
2021-06-01 08:48:00,20.35
2021-06-01 08:50:00,28.25
2021-06-01 08:51:28,5.0
2021-06-01 08:52:00,48.41
2021-06-01 08:52:24,7.5
2021-06-01 08:54:00,29.58
2021-06-01 09:02:13,6.0
2021-06-01 09:04:00,50.48
2021-06-01 09:05:00,28.74
2021-06-01 09:06:00,52.26
2021-06-01 09:06:00,12.82
2021-06-01 09:10:00,31.9
2021-06-01 09:11:00,46.08
2021-06-01 09:14:06,5.0
2021-06-01 09:16:00,23.37
2021-06-01 09:19:09,6.5
2021-06-01 09:22:17,13.0
2021-06-01 09:25:00,23.18
2021-06-01 09:25:00,58.17
2021-06-01 09:25:00,27.21
2021-06-01 09:26:36,22.0
2021-06-01 09:27:22,23.5
2021-06-01 09:28:00,48.41
2021-06-01 09:28:00,36.16
2021-06-01 09:37:38,16.0
2021-06-01 09:38:00,42.63
2021-06-01 09:41:00,18.58
2021-06-01 09:41:00,18.58
2021-06-01 09:41:00,38.79
2021-06-01 09:42:00,31.78
2021-06-01 09:43:00,14.55
2021-06-01 09:43:00,19.39
2021-06-01 09:45:00,18.58
2021-06-01 09:50:00,24.55
2021-06-01 09:53:00,22.58
2021-06-01 09:53:00,15.89
2021-06-01 09:55:00,31.9
2021-06-01 09:55:00,28.26
2021-06-01 09:55:00,28.09
2021-06-01 09:57:53,6.0
2021-06-01 09:59:19,7.5
2021-06-01 10:02:00,40.03
2021-06-01 10:05:00,13.66
2021-06-01 10:09:53,8.5
2021-06-01 10:10:00,18.75
2021-06-01 10:11:00,12.62
2021-06-01 10:13:00,48.41
2021-06-01 10:21:00,24.63
